Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
"Унитаз-моноблок 5003B с биде безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д5999,дефект мастера ОТК,царапины,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"8 204,01"
"Унитаз-моноблок 5005 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д5998,дефект мастера ОТК,царапина,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"7 681,00"
Тропический душ для душевой стойки FS02C-N,,,,д6210,заводской брак,Царапина на корпусе тропической лейки,Китай - Чаотай,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002086 от 06.10.2025 9:27:55,,Существенный,1,,"493,15"
"Amazonia FS11GR-PVD Душевая стойка (150 см) со смесителем, гигиеническим душем, латунь, оружейная сталь EvaGold",,,,д6211,пересорт (поставщик),Царапина на корпусе стойки.Неродная душевая стойка комплекта(отличие по цвету и диамету резьбы),Китай - Чаотай,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002086 от 06.10.2025 9:27:55,,Существенный,1,,"8 120,23"
"Умывальник ""W101"" home de luxe 600*480*195 белый с болтами крепления и сливным хромированным кольцом",,,,д6206,бой при доставке,бой,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"1 316,32"
"60 Зеркало-шкаф ""НИКА 60""  прав.",,,,д6101,заводской брак,отслоение пленки,Овчинникова Марина Николаевна ИП (FSC),Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"2 376,22"
"70 Тумба ""Fantasy 70"" 2ящ. белое дерево ( ум. ""Фостер 700""/COMO 70)",,,,д6102,заводской брак,бой задней планки,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"5 987,10"
"105 Тумба ""Viktoria 105"" (ум. Дуглас -105/Виктория-100)",,,,д6113,бой в целой коробке,скол на лицевой части двери,ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"8 400,00"
"100 Зеркало ""Fernanda 100""",,,,д6111,заводской брак,скол на задней стенки,АЛМАЗ,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"5 723,89"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д6109,заводской брак,отслоение глазури,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 784,31"
"EG3G Душевое ограждение квадрат EvaGold 90х90, профиль оружейная сталь, прозрачное стекло",,,,д6199,заводской брак,скол углов,Китай - Санвей,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002085 от 06.10.2025 9:25:57,,Существенный,1,,"5 699,61"
"50 Раковина встраив.: COMO 50 1 отв., белый, Сорт1(24)",,,,д6187,бой при доставке,скол на углу,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"2 388,30"
"Унитаз-компакт ""Детский"" белый Киров, кос. выпуск,  1-режим.арматура, сид. полипропилен",,,,д6165,бой при доставке,бой,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"4 198,60"
Рама разборная ПУ 1500*700 (подходят на ванны Poseidon и Рогнеда),,,,д5992,возврат по договору,"вскрыта упаковка,не хватает запчастей",САНТЕХТРЕЙД ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"2 790,70"
"A2801, A2801B Бачок для унитаза-компакта, арматура",,,,д6117,заводской брак,плеш на крышке бачка,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 868,26"
