№ п/п,Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,,,
"163,0","105 Тумба ""Taylor 105"" (ум. Дуглас 105/Виктория-100) с сифоном",,,,д8034,заводской брак,отслоения пленки,ДОМ МЕБЕЛИ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"11776,0"
Акт о браке 000022450 от 27.01.2026 13:54:07,,,,,,,,,,,,,,,"1,0",,"5670,2"
"164,0","Унитаз-компакт EG306T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск (T2334)",,,,д8035,течь,течет,Китай - Джиохол,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"5670,2"
Акт о браке 000022451 от 27.01.2026 14:13:47,,,,,,,,,,,,,,,"1,0",,"3665,0"
"165,0","Унитаз подвесной K505 безободковый, сиденье тонкое ДП, крепления",,,,д8068,течь,Течь ,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3665,0"
Акт о браке 000022452 от 27.01.2026 14:30:08,,,,,,,,,,,,,,,"1,0",,"4005,6"
"166,0","60 Тумба ""Волна 60 №2"" (ум. Элегия 60)",,,,д8070,не товарный вид клиент ,"установлены ножки,нет упаковки ",Овчинникова Марина Николаевна ИП (FSC),Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,1,,"4005,6"
Акт о браке 000022453 от 27.01.2026 14:53:45,,,,,,,,,,,,,,,"1,0",,"6912,5"
"167,0","35 Пенал-шкаф ""Fantasy 35"" венге",,,,д8075,бой при хранении (клиент),"трещины задней стенки и на боку,нет полок  ",Ротачев С.А.,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"6912,5"
Акт о браке 000022455 от 28.01.2026 9:28:05,,,,,,,,,,,,,,,"1,0",,"2206,3"
"168,0","45 Тумба ""Mono 45"" (ум. Уют 45)",,,,д8074,бой при хранении (клиент),треснута задняя перекладина,Росток-Мебель,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"2206,3"
Акт о браке 000022457 от 28.01.2026 9:38:13,,,,,,,,,,,,,,,"1,0",,"4194,6"
"169,0","Унитаз-компакт ""Проксима"" GESSO  кос.выпуск, ниж. подвод,1 уров. арматура, сид. полипропилен",,,,д8017,заводской брак,Течь,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"4194,6"
Акт о браке 000022458 от 28.01.2026 9:42:06,,,,,,,,,,,,,,,"1,0",,"3359,0"
"170,0","Унитаз-компакт ""W 101"" GESSO  кос.выпуск, ниж. подвод,1 уров. арматура, сид. полипропилен",,,,д8085,бой при хранении (клиент),"разбита площадка для крепления бачка,раковины на крыке унитаза ",ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"3359,0"
Акт о браке 000022459 от 28.01.2026 9:50:48,,,,,,,,,,,,,,,"1,0",,"489,9"
"171,0","Душевая панель к ДК F101, F901. T901 средняя пластиковая 1845*250мм",,,,д8066,заводской брак,сломана задняя панель,Китай - Санвей,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002181 от 05.02.2026 10:07:02,,1,,"489,9"
Акт о браке 000022460 от 28.01.2026 10:32:57,,,,,,,,,,,,,,,"1,0",,"6954,0"
"172,0","Унитаз-моноблок 5005T безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д8083,заводской брак,холодный треск внутри бачка,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"6954,0"
Акт о браке 000022461 от 28.01.2026 10:40:33,,,,,,,,,,,,,,,"1,0",,"5383,2"
"173,0","Унитаз-моноблок TR1197 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д8078,бой при хранении (клиент),разбита боковая часть у основания унитаза,Китай - Тренд,Клиент,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"5383,2"
Акт о браке 000022462 от 28.01.2026 10:45:27,,,,,,,,,,,,,,,"1,0",,"2626,9"
"174,0","40 Тумба ""Cleo 40"" (ум. MODUO 40/COMO 40)",,,,д8095,бой при хранении (клиент),трещина на задней перекладине + не в заводской упаковке ,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"2626,9"
Акт о браке 000022463 от 28.01.2026 11:00:38,,,,,,,,,,,,,,,"1,0",,"12710,0"
"175,0","Унитаз подвесной K704G золотой безободковый, сиденье тонкое ДП, крепления",,,,Д8089,заводской брак,кривое изделие,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"12710,0"
Акт о браке 000022464 от 28.01.2026 12:29:46,,,,,,,,,,,,,,,"1,0",,"7418,4"
"176,0","Унитаз-моноблок T1085 безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д8030,бой при хранении (клиент),Скол на бочке монолита,Китай - Виландор,Клиент,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"7418,4"
Акт о браке 000022472 от 28.01.2026 13:50:06,,,,,,,,,,,,,,,"1,0",,"4489,8"
"177,0","Унитаз безободковый EG306T, сиденье тонкое ДП, крепления (без бачка)",,,,д8048,течь,брак,Китай - Джиохол,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"4489,8"
Акт о браке 000022481 от 28.01.2026 14:09:40,,,,,,,,,,,,,,,"1,0",,"4329,0"
"178,0","Унитаз безободковый EG311T, сиденье тонкое ДП, крепления (без бачка)",,,,д8042,заводской брак,царапины на унитазе,Китай - Джинсили,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002178 от 05.02.2026 9:57:48,,1,,"4329,0"
Акт о браке 000022485 от 28.01.2026 14:17:11,,,,,,,,,,,,,,,"3,0",,"17455,4"
"179,0","105 Тумба ""Viktoria 105"" (ум. Дуглас -105/Виктория-100)",,,,д8039,бой при хранении (клиент),бой,ГЭОС,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"9082,0"
"180,0","60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,д8041,бой при хранении (клиент),бой,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"2775,9"
"181,0","80 Зеркало-шкаф ""Cosmo 80""",,,,д8040,бой при хранении (клиент),бой,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"5597,5"
Акт о браке 000022487 от 28.01.2026 14:32:49,,,,,,,,,,,,,,,"1,0",,"2130,1"
"182,0","50 Тумба ""Slim"" 50 (в разборе) ум.Альфана 50/Ладога 50",,,,д8052,заводской брак,отслоение пленки,Овчинникова Марина Николаевна ИП (FSC),Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"2130,1"
Акт о браке 000022495 от 29.01.2026 11:12:22,,,,,,,,,,,,,,,"1,0",,"360,1"
"183,0","Тропический душ черный для FS04B, FS09B",,,,д8082,заводской брак,Верхняя Лейка льёт не через форсунки,Китай - Чаотай,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002182 от 05.02.2026 10:17:26,,1,,"360,1"
